name,SMILES
mol_224,CC1CN(C(=O)C(C)(O)C(F)(F)F)CCN1C(=O)OCc1ccccc1
mol_225,OC1C[Si](c2ccc(F)cc2)(c2ccc(F)cc2)CC1N1CCN(c2ccccc2)CC1
mol_226,O=C(C=Cc1ccc(CNCCc2c[nH]c3ccccc23)cc1)NO
mol_227,CN1CCCC1=NC(=Nc1ccccc1)N1CCOCC1
mol_228,Cc1cc(C=C2SC(=S)NC2=O)c(C)n1-c1cccnc1
mol_229,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(=O)CCC(=O)O)CC3)cc21
mol_230,CCN(c1nncs1)P(=O)(N1CC1)N1CC1
mol_231,CCCCCOC1CCC(NC(=O)c2cnn3c(C)cc(C)nc23)CC1
mol_232,Cc1cccc(CC(NC(=O)c2ccc(F)cc2F)C(=O)NC(C#N)COCc2cccc(C(=O)O)c2)c1
mol_233,COc1cc2c(cc1O)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
mol_234,CC(C)N(CCC(c1ccccc1)c1cc(CO)ccc1O)C(C)C
mol_235,O=C(O)C=Cc1ccc(-c2nc[nH]c2-c2ccc(C=CC(=O)O)cc2)cc1
mol_236,CCCC(=O)Oc1c[nH]c2ccc(Br)c(Cl)c12
mol_237,NC(CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1
mol_238,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C=CCCN1CCOCC1
mol_239,CCOc1ccc(-c2cn(C)nc2-c2cc(OC)c(OC)c(OC)c2)cc1
mol_240,CC(C)C(NC(=O)c1ccc(C(=O)O)cc1)C(=O)N1CCCC1C(=O)NC(C(=O)C(F)(F)F)C(C)C
mol_241,COc1ccc(NS(=O)(=O)c2ccc(C=CC(=O)NO)cc2)cc1OC
mol_242,CCC12C=CCN3CCC4(C(=C(C(=O)OC)C1)Nc1ccccc14)C32.Cl
mol_243,CC(C)N(CCc1c[nH]c2ccccc12)Cc1ccc(C=CC(=O)NO)cc1
mol_244,CN(C)c1ccc2c(-c3cc(C(=O)ON4C(=O)CCC4=O)ccc3C(=O)[O-])c3ccc(=[N+](C)C)cc-3oc2c1
mol_245,O=C1N=c2ccccc2=C1c1cc(-c2c[nH]c3ccccc23)[nH]c1O
mol_246,O=C(NOCCO)c1cc2scnc2c(F)c1Nc1ccc(I)cc1F
mol_247,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1.Cl
