DRUG SMILES,FRAG_SMILES
CCC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,CCCCC(=O)c1ccc(F)cc1
O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2cccnc2)n1,CN1CCc2ccccc2CC1
CC(=O)N1CCN(Cc2ccc(C(C)Nc3nccc(N4C(=O)OCC4C(C)C)n3)cc2)CC1,CCc1ccc(C(C)C)cc1
COc1cc(C(=O)c2cc(NS(C)(=O)=O)cc(-c3cccc4[nH]ccc34)c2)ccn1,COc1cc(C(=O)c2cc(C)cc(C)c2)ccn1
NC(Cc1cc(Br)c(O)c(Br)c1)C(=O)O,CC(=O)C(N)Cc1cc(Br)c(O)c(Br)c1
CCOC(=O)C(N)Cc1ccc([N+](=O)[O-])cc1.Cl,CC(=O)C(N)Cc1ccc([N+](=O)[O-])cc1
O=C(NC(Cc1cnc[nH]1)C(=O)O)OCC1c2ccccc2-c2ccccc21,COCC1c2ccccc2-c2ccccc21
COc1ccc(S(=O)(=O)NCCCC(=O)Nc2ccc(Sc3ccc(N)cc3)cc2)cc1,CNc1ccc(Sc2ccc(N)cc2)cc1
CC(C)(C)OC(=O)NC(CC(=O)OC1CCCCC1)C(=O)O,CC1CCCCC1
Clc1ccc(N2CCN(CC=Cc3ccccc3)CC2)nn1,CCC=Cc1ccccc1
CCCCCC(O)C=CC1C=CC(=O)C1CCCCCCC(=O)C(=O)O,CCC1C=CC(=O)C1CCCCCCC(=O)C(C)=O
O=C(N1CCCC1)C(CCN1CCOCC1)(c1ccccc1)c1ccccc1,CN1CCCC1
